Location,Latitude,Longitude
47 km al E de Base Frei,-62.281,-58.091
30 km al E de Base Frei,-62.306,-58.444
31 km al E de Base Frei,-62.277,-58.409
38 km al E de Base Frei,-62.262,-58.251
30 km al E de Base Frei,-62.268,-58.418
32 km al E de Base Frei,-62.229,-58.364
30 km al E de Base Frei,-62.243,-58.403
30 km al E de Base Frei,-62.254,-58.398
30 km al E de Base Frei,-62.218,-58.398
32 km al E de Base Frei,-62.237,-58.357
28 km al E de Base Frei,-62.221,-58.44
32 km al E de Base Frei,-62.236,-58.358
32 km al E de Base Frei,-62.22,-58.362
31 km al E de Base Frei,-62.268,-58.4
30 km al E de Base Frei,-62.254,-58.41
31 km al E de Base Frei,-62.229,-58.38
31 km al E de Base Frei,-62.243,-58.376
31 km al E de Base Frei,-62.202,-58.377
30 km al E de Base Frei,-62.232,-58.405
29 km al E de Base Frei,-62.216,-58.417
31 km al E de Base Frei,-62.233,-58.371
31 km al E de Base Frei,-62.229,-58.371
30 km al E de Base Frei,-62.237,-58.398
43 km al E de Base Frei,-62.279,-58.169
43 km al E de Base Frei,-62.238,-58.153
46 km al E de Base Frei,-62.137,-58.104
49 km al E de Base Frei,-62.172,-58.032
46 km al E de Base Frei,-62.202,-58.079
41 km al E de Base Frei,-62.215,-58.182
45 km al E de Base Frei,-62.195,-58.097
46 km al E de Base Frei,-62.191,-58.082
44 km al E de Base Frei,-62.186,-58.122
46 km al E de Base Frei,-62.178,-58.083
46 km al E de Base Frei,-62.19,-58.094
44 km al E de Base Frei,-62.192,-58.13
44 km al E de Base Frei,-62.203,-58.12
43 km al E de Base Frei,-62.192,-58.147
40 km al E de Base Frei,-62.19,-58.211
38 km al E de Base Frei,-62.28,-58.268
41 km al E de Base Frei,-62.11,-58.197
32 km al E de Base Frei,-62.128,-58.368
38 km al E de Base Frei,-62.282,-58.261
31 km al E de Base Frei,-62.304,-58.419
30 km al E de Base Frei,-62.231,-58.406
29 km al E de Base Frei,-62.224,-58.42
30 km al E de Base Frei,-62.301,-58.441
30 km al E de Base Frei,-62.296,-58.441
31 km al E de Base Frei,-62.297,-58.415
31 km al E de Base Frei,-62.29,-58.408
31 km al E de Base Frei,-62.302,-58.417
32 km al E de Base Frei,-62.304,-58.406
31 km al E de Base Frei,-62.294,-58.42
33 km al E de Base Frei,-62.286,-58.372
32 km al E de Base Frei,-62.223,-58.354
36 km al E de Base Frei,-62.257,-58.29
31 km al E de Base Frei,-62.301,-58.414
35 km al E de Base Frei,-62.358,-58.393
30 km al E de Base Frei,-62.204,-58.394
33 km al E de Base Frei,-62.218,-58.339
32 km al E de Base Frei,-62.226,-58.363
31 km al E de Base Frei,-62.212,-58.382
30 km al E de Base Frei,-62.284,-58.429
33 km al E de Base Frei,-62.213,-58.335
30 km al E de Base Frei,-62.164,-58.398
31 km al E de Base Frei,-62.193,-58.367
32 km al E de Base Frei,-62.202,-58.352
31 km al E de Base Frei,-62.202,-58.382
30 km al E de Base Frei,-62.181,-58.388
32 km al E de Base Frei,-62.233,-58.363
30 km al E de Base Frei,-62.181,-58.404
31 km al E de Base Frei,-62.213,-58.367
32 km al E de Base Frei,-62.218,-58.353
13 km al E de Base Frei,-62.14,-58.76
40 km al E de Base Frei,-62.214,-58.195
36 km al E de Base Frei,-62.277,-58.296
40 km al E de Base Frei,-62.095,-58.228
37 km al E de Base Frei,-62.174,-58.267
39 km al E de Base Frei,-62.212,-58.22
40 km al E de Base Frei,-62.185,-58.201
39 km al E de Base Frei,-62.175,-58.221
40 km al E de Base Frei,-62.174,-58.199
37 km al E de Base Frei,-62.352,-58.349
35 km al E de Base Frei,-62.282,-58.324
39 km al E de Base Frei,-62.164,-58.228
41 km al E de Base Frei,-62.257,-58.188
40 km al E de Base Frei,-62.265,-58.213
41 km al E de Base Frei,-62.195,-58.175
30 km al E de Base Frei,-62.242,-58.412
30 km al E de Base Frei,-62.251,-58.404
30 km al E de Base Frei,-62.222,-58.392
31 km al E de Base Frei,-62.295,-58.416
31 km al E de Base Frei,-62.219,-58.369
34 km al E de Base Frei,-62.287,-58.355
31 km al E de Base Frei,-62.313,-58.432
29 km al E de Base Frei,-62.311,-58.463
29 km al E de Base Frei,-62.216,-58.406
31 km al E de Base Frei,-62.267,-58.385
31 km al E de Base Frei,-62.302,-58.415
30 km al E de Base Frei,-62.285,-58.418
30 km al E de Base Frei,-62.287,-58.438
33 km al E de Base Frei,-62.276,-58.358
30 km al E de Base Frei,-62.287,-58.424
26 km al E de Base Frei,-62.107,-58.511
20 km al E de Base Frei,-62.237,-58.594
34 km al E de Base Frei,-62.29,-58.344
45 km al E de Base Frei,-62.291,-58.133
35 km al E de Base Frei,-62.272,-58.326
32 km al E de Base Frei,-62.247,-58.365
32 km al E de Base Frei,-62.278,-58.384
35 km al E de Base Frei,-62.272,-58.325
35 km al E de Base Frei,-62.273,-58.325
35 km al E de Base Frei,-62.222,-58.306
34 km al E de Base Frei,-62.14,-58.329
35 km al E de Base Frei,-62.293,-58.333
34 km al E de Base Frei,-62.155,-58.326
33 km al E de Base Frei,-62.275,-58.363
41 km al E de Base Frei,-62.257,-58.19
34 km al E de Base Frei,-62.243,-58.331
41 km al E de Base Frei,-62.208,-58.175
